route,template,lang,viewport,width,height,overflow_px,console_errors,status
/meetups/september-meetup-2026,meetup-detail-planned,es,phone-landscape,667,375,0,0,ok
/en/meetups/qa-pilar-del-software,meetup-detail-archive,en,phone-landscape,667,375,0,0,ok
/meetups/qa-pilar-del-software,meetup-detail-archive,es,phone-landscape,667,375,0,0,ok
/en/pereira-tech-day,ptd-landing,en,phone-landscape,667,375,0,0,ok
/pereira-tech-day,ptd-landing,es,phone-landscape,667,375,0,0,ok
/en/pereira-tech-days/2024,ptd-edition,en,phone-landscape,667,375,0,0,ok
/pereira-tech-days/2024,ptd-edition,es,phone-landscape,667,375,0,0,ok
/en/pereira-tech-days/2026,ptd-edition,en,phone-landscape,667,375,0,0,ok
/en/speakers,speakers-list,en,phone-landscape,667,375,0,0,ok
/speakers,speakers-list,es,phone-landscape,667,375,0,0,ok
/verticals,verticals-list,es,phone-landscape,667,375,0,0,ok
/en/slides,slides-catalog,en,phone-landscape,667,375,0,0,ok
/slides,slides-catalog,es,phone-landscape,667,375,0,0,ok
/en/blog/series,blog-series-listing,en,phone-landscape,667,375,0,0,ok
/blog/series,blog-series-listing,es,phone-landscape,667,375,0,0,ok
/en/certificates/verify,certificate-verify,en,phone-landscape,667,375,0,0,ok
/certificates/verify,certificate-verify,es,phone-landscape,667,375,0,0,ok
/en/,home,en,phablet,480,853,0,0,ok
/,home,es,phablet,480,853,0,0,ok
/en/about,narrative-about,en,phablet,480,853,0,0,ok
/about,narrative-about,es,phablet,480,853,0,0,ok
/en/community,narrative-community,en,phablet,480,853,0,0,ok
/community,narrative-community,es,phablet,480,853,0,0,ok
/en/conduct,narrative-conduct,en,phablet,480,853,0,0,ok
/conduct,narrative-conduct,es,phablet,480,853,0,0,ok
/en/contributing,narrative-contributing,en,phablet,480,853,0,0,ok
/en/governance,narrative-governance,en,phablet,480,853,0,0,ok
/en/contact,form-contact,en,phablet,480,853,0,0,ok
/contact,form-contact,es,phablet,480,853,0,0,ok
/en/call-for-speakers,form-call-for-speakers,en,phablet,480,853,0,0,ok
/call-for-speakers,form-call-for-speakers,es,phablet,480,853,0,0,ok
/en/sponsor-us,form-sponsor-us,en,phablet,480,853,0,0,ok
/en/channels,channels,en,phablet,480,853,0,0,ok
/en/press,press,en,phablet,480,853,0,0,ok
/en/sponsors,sponsors,en,phablet,480,853,0,0,ok
/en/contributors,contributors,en,phablet,480,853,0,0,ok
/en/verticals,verticals-list,en,phablet,480,853,0,0,ok
/en/verticals/speaker-school,verticals-detail,en,phablet,480,853,0,0,ok
/en/verticals/library-of-tomorrow,verticals-detail,en,phablet,480,853,0,0,ok
/en/verticals/ai-channel,verticals-detail,en,phablet,480,853,0,0,ok
/en/blog,blog-listing,en,phablet,480,853,0,0,ok
/blog,blog-listing,es,phablet,480,853,0,0,ok
/en/blog/what-is-pereira-tech-talks,blog-post-banner,en,phablet,480,853,0,1,http_404
